unique_id,ds,y
MT_010,2012-01-01 00:15:00,351.6129
MT_010,2012-01-01 01:15:00,329.0323
MT_010,2012-01-01 02:15:00,288.1720
MT_010,2012-01-01 03:15:00,184.9462
MT_010,2012-01-01 04:15:00,169.8925
MT_010,2012-01-01 05:15:00,195.6989
MT_010,2012-01-01 06:15:00,241.9355
MT_010,2012-01-01 07:15:00,198.9247
MT_010,2012-01-01 08:15:00,161.2903
MT_010,2012-01-01 09:15:00,187.0968
MT_010,2012-01-01 10:15:00,249.4624
MT_010,2012-01-01 11:15:00,276.3441
MT_010,2012-01-01 12:15:00,253.7634
MT_010,2012-01-01 13:15:00,192.4731
MT_010,2012-01-01 14:15:00,200.0000
MT_010,2012-01-01 15:15:00,216.1290
MT_010,2012-01-01 16:15:00,244.0860
MT_010,2012-01-01 17:15:00,296.7742
MT_010,2012-01-01 18:15:00,354.8387
MT_010,2012-01-01 19:15:00,351.6129
MT_010,2012-01-01 20:15:00,386.0215
MT_010,2012-01-01 21:15:00,362.3656
MT_010,2012-01-01 22:15:00,362.3656
MT_010,2012-01-01 23:15:00,319.3548
MT_010,2012-01-02 00:15:00,263.4409
MT_010,2012-01-02 01:15:00,250.5376
MT_010,2012-01-02 02:15:00,238.7097
MT_010,2012-01-02 03:15:00,154.8387
MT_010,2012-01-02 04:15:00,151.6129
MT_010,2012-01-02 05:15:00,189.2473
MT_010,2012-01-02 06:15:00,235.4839
MT_010,2012-01-02 07:15:00,205.3763
MT_010,2012-01-02 08:15:00,205.3763
MT_010,2012-01-02 09:15:00,200.0000
MT_010,2012-01-02 10:15:00,211.8280
MT_010,2012-01-02 11:15:00,197.8495
MT_010,2012-01-02 12:15:00,189.2473
MT_010,2012-01-02 13:15:00,177.4194
MT_010,2012-01-02 14:15:00,191.3978
MT_010,2012-01-02 15:15:00,179.5699
MT_010,2012-01-02 16:15:00,178.4946
MT_010,2012-01-02 17:15:00,229.0323
MT_010,2012-01-02 18:15:00,312.9032
MT_010,2012-01-02 19:15:00,344.0860
MT_010,2012-01-02 20:15:00,318.2796
MT_010,2012-01-02 21:15:00,323.6559
MT_010,2012-01-02 22:15:00,317.2043
MT_010,2012-01-02 23:15:00,279.5699
MT_010,2012-01-03 00:15:00,255.9140
MT_010,2012-01-03 01:15:00,239.7849
MT_010,2012-01-03 02:15:00,225.8065
MT_010,2012-01-03 03:15:00,137.6344
MT_010,2012-01-03 04:15:00,126.8817
MT_010,2012-01-03 05:15:00,164.5161
MT_010,2012-01-03 06:15:00,221.5054
MT_010,2012-01-03 07:15:00,265.5914
MT_010,2012-01-03 08:15:00,365.5914
MT_010,2012-01-03 09:15:00,420.4301
MT_010,2012-01-03 10:15:00,469.8925
MT_010,2012-01-03 11:15:00,544.0860
MT_010,2012-01-03 12:15:00,535.4839
MT_010,2012-01-03 13:15:00,523.6559
MT_010,2012-01-03 14:15:00,505.3763
MT_010,2012-01-03 15:15:00,443.0108
MT_010,2012-01-03 16:15:00,325.8065
MT_010,2012-01-03 17:15:00,364.5161
MT_010,2012-01-03 18:15:00,438.7097
MT_010,2012-01-03 19:15:00,427.9570
MT_010,2012-01-03 20:15:00,306.4516
MT_010,2012-01-03 21:15:00,291.3978
MT_010,2012-01-03 22:15:00,290.3226
MT_010,2012-01-03 23:15:00,274.1935
MT_010,2012-01-04 00:15:00,245.1613
MT_010,2012-01-04 01:15:00,232.2581
MT_010,2012-01-04 02:15:00,217.2043
MT_010,2012-01-04 03:15:00,140.8602
MT_010,2012-01-04 04:15:00,139.7849
MT_010,2012-01-04 05:15:00,180.6452
MT_010,2012-01-04 06:15:00,216.1290
MT_010,2012-01-04 07:15:00,247.3118
MT_010,2012-01-04 08:15:00,343.0108
MT_010,2012-01-04 09:15:00,295.6989
MT_010,2012-01-04 10:15:00,260.2151
MT_010,2012-01-04 11:15:00,318.2796
MT_010,2012-01-04 12:15:00,390.3226
MT_010,2012-01-04 13:15:00,351.6129
MT_010,2012-01-04 14:15:00,453.7634
MT_010,2012-01-04 15:15:00,381.7204
MT_010,2012-01-04 16:15:00,335.4839
MT_010,2012-01-04 17:15:00,391.3978
MT_010,2012-01-04 18:15:00,395.6989
MT_010,2012-01-04 19:15:00,330.1075
MT_010,2012-01-04 20:15:00,334.4086
MT_010,2012-01-04 21:15:00,315.0538
MT_010,2012-01-04 22:15:00,300.0000
MT_010,2012-01-04 23:15:00,267.7419
MT_010,2012-01-05 00:15:00,248.3871
MT_010,2012-01-05 01:15:00,232.2581
MT_010,2012-01-05 02:15:00,234.4086
MT_010,2012-01-05 03:15:00,153.7634
MT_010,2012-01-05 04:15:00,140.8602
MT_010,2012-01-05 05:15:00,170.9677
MT_010,2012-01-05 06:15:00,216.1290
MT_010,2012-01-05 07:15:00,223.6559
MT_010,2012-01-05 08:15:00,290.3226
MT_010,2012-01-05 09:15:00,204.3011
MT_010,2012-01-05 10:15:00,389.2473
MT_010,2012-01-05 11:15:00,478.4946
MT_010,2012-01-05 12:15:00,644.0860
MT_010,2012-01-05 13:15:00,517.2043
MT_010,2012-01-05 14:15:00,337.6344
MT_010,2012-01-05 15:15:00,353.7634
MT_010,2012-01-05 16:15:00,286.0215
MT_010,2012-01-05 17:15:00,302.1505
MT_010,2012-01-05 18:15:00,367.7419
MT_010,2012-01-05 19:15:00,413.9785
MT_010,2012-01-05 20:15:00,501.0753
MT_010,2012-01-05 21:15:00,405.3763
MT_010,2012-01-05 22:15:00,323.6559
MT_010,2012-01-05 23:15:00,286.0215
MT_010,2012-01-06 00:15:00,237.6344
MT_010,2012-01-06 01:15:00,230.1075
MT_010,2012-01-06 02:15:00,229.0323
MT_010,2012-01-06 03:15:00,152.6882
MT_010,2012-01-06 04:15:00,148.3871
MT_010,2012-01-06 05:15:00,170.9677
MT_010,2012-01-06 06:15:00,216.1290
MT_010,2012-01-06 07:15:00,266.6667
MT_010,2012-01-06 08:15:00,400.0000
MT_010,2012-01-06 09:15:00,496.7742
MT_010,2012-01-06 10:15:00,601.0753
MT_010,2012-01-06 11:15:00,441.9355
MT_010,2012-01-06 12:15:00,425.8065
MT_010,2012-01-06 13:15:00,534.4086
MT_010,2012-01-06 14:15:00,320.4301
MT_010,2012-01-06 15:15:00,377.4194
MT_010,2012-01-06 16:15:00,386.0215
MT_010,2012-01-06 17:15:00,469.8925
MT_010,2012-01-06 18:15:00,378.4946
MT_010,2012-01-06 19:15:00,420.4301
MT_010,2012-01-06 20:15:00,405.3763
MT_010,2012-01-06 21:15:00,322.5806
MT_010,2012-01-06 22:15:00,312.9032
MT_010,2012-01-06 23:15:00,276.3441
MT_010,2012-01-07 00:15:00,260.2151
MT_010,2012-01-07 01:15:00,237.6344
MT_010,2012-01-07 02:15:00,234.4086
MT_010,2012-01-07 03:15:00,151.6129
MT_010,2012-01-07 04:15:00,145.1613
MT_010,2012-01-07 05:15:00,182.7957
MT_010,2012-01-07 06:15:00,220.4301
MT_010,2012-01-07 07:15:00,190.3226
MT_010,2012-01-07 08:15:00,174.1935
MT_010,2012-01-07 09:15:00,208.6022
MT_010,2012-01-07 10:15:00,210.7527
MT_010,2012-01-07 11:15:00,187.0968
MT_010,2012-01-07 12:15:00,182.7957
MT_010,2012-01-07 13:15:00,169.8925
MT_010,2012-01-07 14:15:00,180.6452
MT_010,2012-01-07 15:15:00,170.9677
MT_010,2012-01-07 16:15:00,177.4194
MT_010,2012-01-07 17:15:00,256.9892
MT_010,2012-01-07 18:15:00,321.5054
MT_010,2012-01-07 19:15:00,326.8817
MT_010,2012-01-07 20:15:00,311.8280
MT_010,2012-01-07 21:15:00,318.2796
MT_010,2012-01-07 22:15:00,288.1720
MT_010,2012-01-07 23:15:00,273.1183
MT_010,2012-01-08 00:15:00,250.5376
MT_010,2012-01-08 01:15:00,235.4839
MT_010,2012-01-08 02:15:00,222.5806
MT_010,2012-01-08 03:15:00,134.4086
MT_010,2012-01-08 04:15:00,133.3333
MT_010,2012-01-08 05:15:00,161.2903
MT_010,2012-01-08 06:15:00,201.0753
MT_010,2012-01-08 07:15:00,166.6667
MT_010,2012-01-08 08:15:00,160.2151
MT_010,2012-01-08 09:15:00,180.6452
MT_010,2012-01-08 10:15:00,233.3333
MT_010,2012-01-08 11:15:00,205.3763
MT_010,2012-01-08 12:15:00,210.7527
MT_010,2012-01-08 13:15:00,174.1935
MT_010,2012-01-08 14:15:00,176.3441
MT_010,2012-01-08 15:15:00,165.5914
MT_010,2012-01-08 16:15:00,154.8387
MT_010,2012-01-08 17:15:00,225.8065
