unique_id,ds,y
M4D_T000000,1994-03-01 12:00:00,1017.1000
M4D_T000000,1994-03-02 12:00:00,1019.3000
M4D_T000000,1994-03-03 12:00:00,1017.0000
M4D_T000000,1994-03-04 12:00:00,1019.2000
M4D_T000000,1994-03-05 12:00:00,1018.7000
M4D_T000000,1994-03-06 12:00:00,1015.6000
M4D_T000000,1994-03-07 12:00:00,1018.5000
M4D_T000000,1994-03-08 12:00:00,1018.3000
M4D_T000000,1994-03-09 12:00:00,1018.4000
M4D_T000000,1994-03-10 12:00:00,1021.5000
M4D_T000000,1994-03-11 12:00:00,1023.0000
M4D_T000000,1994-03-12 12:00:00,1023.3000
M4D_T000000,1994-03-13 12:00:00,1020.5000
M4D_T000000,1994-03-14 12:00:00,1021.4000
M4D_T000000,1994-03-15 12:00:00,1018.1000
M4D_T000000,1994-03-16 12:00:00,1022.6000
M4D_T000000,1994-03-17 12:00:00,1022.6000
M4D_T000000,1994-03-18 12:00:00,1021.0000
M4D_T000000,1994-03-19 12:00:00,1020.1000
M4D_T000000,1994-03-20 12:00:00,1017.0000
M4D_T000000,1994-03-21 12:00:00,1019.3000
M4D_T000000,1994-03-22 12:00:00,1017.3000
M4D_T000000,1994-03-23 12:00:00,1016.1000
M4D_T000000,1994-03-24 12:00:00,1017.8000
M4D_T000000,1994-03-25 12:00:00,1019.3000
M4D_T000000,1994-03-26 12:00:00,1025.1000
M4D_T000000,1994-03-27 12:00:00,1024.8000
M4D_T000000,1994-03-28 12:00:00,1025.1000
M4D_T000000,1994-03-29 12:00:00,1025.1000
M4D_T000000,1994-03-30 12:00:00,1022.6000
M4D_T000000,1994-03-31 12:00:00,1021.2000
M4D_T000000,1994-04-01 12:00:00,1017.2000
M4D_T000000,1994-04-02 12:00:00,1041.5000
M4D_T000000,1994-04-03 12:00:00,1041.7000
M4D_T000000,1994-04-04 12:00:00,1038.9000
M4D_T000000,1994-04-05 12:00:00,1041.0000
M4D_T000000,1994-04-06 12:00:00,1042.9000
M4D_T000000,1994-04-07 12:00:00,1042.1000
M4D_T000000,1994-04-08 12:00:00,1043.9000
M4D_T000000,1994-04-09 12:00:00,1039.0000
M4D_T000000,1994-04-10 12:00:00,1037.3000
M4D_T000000,1994-04-11 12:00:00,1033.7000
M4D_T000000,1994-04-12 12:00:00,1032.5000
M4D_T000000,1994-04-13 12:00:00,1036.3000
