unique_id,ds,y
M4H_T000000,2015-01-07 12:00:00,605.0000
M4H_T000000,2015-01-07 13:00:00,586.0000
M4H_T000000,2015-01-07 14:00:00,586.0000
M4H_T000000,2015-01-07 15:00:00,559.0000
M4H_T000000,2015-01-07 16:00:00,511.0000
M4H_T000000,2015-01-07 17:00:00,443.0000
M4H_T000000,2015-01-07 18:00:00,422.0000
M4H_T000000,2015-01-07 19:00:00,395.0000
M4H_T000000,2015-01-07 20:00:00,382.0000
M4H_T000000,2015-01-07 21:00:00,370.0000
M4H_T000000,2015-01-07 22:00:00,383.0000
M4H_T000000,2015-01-07 23:00:00,397.0000
M4H_T000000,2015-01-08 00:00:00,420.0000
M4H_T000000,2015-01-08 01:00:00,455.0000
M4H_T000000,2015-01-08 02:00:00,493.0000
M4H_T000000,2015-01-08 03:00:00,554.0000
M4H_T000000,2015-01-08 04:00:00,610.0000
M4H_T000000,2015-01-08 05:00:00,666.0000
M4H_T000000,2015-01-08 06:00:00,715.0000
M4H_T000000,2015-01-08 07:00:00,755.0000
M4H_T000000,2015-01-08 08:00:00,778.0000
M4H_T000000,2015-01-08 09:00:00,794.0000
M4H_T000000,2015-01-08 10:00:00,806.0000
M4H_T000000,2015-01-08 11:00:00,808.0000
M4H_T000000,2015-01-08 12:00:00,776.0000
M4H_T000000,2015-01-08 13:00:00,723.0000
M4H_T000000,2015-01-08 14:00:00,709.0000
M4H_T000000,2015-01-08 15:00:00,660.0000
M4H_T000000,2015-01-08 16:00:00,585.0000
M4H_T000000,2015-01-08 17:00:00,527.0000
M4H_T000000,2015-01-08 18:00:00,462.0000
M4H_T000000,2015-01-08 19:00:00,437.0000
M4H_T000000,2015-01-08 20:00:00,413.0000
M4H_T000000,2015-01-08 21:00:00,407.0000
M4H_T000000,2015-01-08 22:00:00,404.0000
M4H_T000000,2015-01-08 23:00:00,420.0000
M4H_T000000,2015-01-09 00:00:00,441.0000
M4H_T000000,2015-01-09 01:00:00,471.0000
M4H_T000000,2015-01-09 02:00:00,526.0000
M4H_T000000,2015-01-09 03:00:00,571.0000
M4H_T000000,2015-01-09 04:00:00,612.0000
M4H_T000000,2015-01-09 05:00:00,635.0000
M4H_T000000,2015-01-09 06:00:00,613.0000
M4H_T000000,2015-01-09 07:00:00,608.0000
M4H_T000000,2015-01-09 08:00:00,614.0000
M4H_T000000,2015-01-09 09:00:00,637.0000
M4H_T000000,2015-01-09 10:00:00,669.0000
M4H_T000000,2015-01-09 11:00:00,683.0000
M4H_T000000,2015-01-09 12:00:00,687.0000
M4H_T000000,2015-01-09 13:00:00,660.0000
M4H_T000000,2015-01-09 14:00:00,661.0000
M4H_T000000,2015-01-09 15:00:00,632.0000
M4H_T000000,2015-01-09 16:00:00,573.0000
M4H_T000000,2015-01-09 17:00:00,521.0000
M4H_T000000,2015-01-09 18:00:00,481.0000
M4H_T000000,2015-01-09 19:00:00,452.0000
M4H_T000000,2015-01-09 20:00:00,447.0000
M4H_T000000,2015-01-09 21:00:00,425.0000
M4H_T000000,2015-01-09 22:00:00,427.0000
M4H_T000000,2015-01-09 23:00:00,441.0000
M4H_T000000,2015-01-10 00:00:00,438.0000
M4H_T000000,2015-01-10 01:00:00,472.0000
M4H_T000000,2015-01-10 02:00:00,528.0000
M4H_T000000,2015-01-10 03:00:00,596.0000
M4H_T000000,2015-01-10 04:00:00,661.0000
M4H_T000000,2015-01-10 05:00:00,708.0000
M4H_T000000,2015-01-10 06:00:00,754.0000
M4H_T000000,2015-01-10 07:00:00,781.0000
M4H_T000000,2015-01-10 08:00:00,808.0000
M4H_T000000,2015-01-10 09:00:00,819.0000
M4H_T000000,2015-01-10 10:00:00,820.0000
M4H_T000000,2015-01-10 11:00:00,801.0000
M4H_T000000,2015-01-10 12:00:00,770.0000
M4H_T000000,2015-01-10 13:00:00,717.0000
M4H_T000000,2015-01-10 14:00:00,697.0000
M4H_T000000,2015-01-10 15:00:00,655.0000
M4H_T000000,2015-01-10 16:00:00,607.0000
M4H_T000000,2015-01-10 17:00:00,552.0000
M4H_T000000,2015-01-10 18:00:00,512.0000
M4H_T000000,2015-01-10 19:00:00,475.0000
M4H_T000000,2015-01-10 20:00:00,452.0000
M4H_T000000,2015-01-10 21:00:00,436.0000
M4H_T000000,2015-01-10 22:00:00,429.0000
M4H_T000000,2015-01-10 23:00:00,433.0000
M4H_T000000,2015-01-11 00:00:00,430.0000
M4H_T000000,2015-01-11 01:00:00,472.0000
M4H_T000000,2015-01-11 02:00:00,536.0000
M4H_T000000,2015-01-11 03:00:00,611.0000
M4H_T000000,2015-01-11 04:00:00,662.0000
M4H_T000000,2015-01-11 05:00:00,705.0000
M4H_T000000,2015-01-11 06:00:00,707.0000
M4H_T000000,2015-01-11 07:00:00,718.0000
M4H_T000000,2015-01-11 08:00:00,733.0000
M4H_T000000,2015-01-11 09:00:00,741.0000
M4H_T000000,2015-01-11 10:00:00,737.0000
M4H_T000000,2015-01-11 11:00:00,710.0000
M4H_T000000,2015-01-11 12:00:00,647.0000
M4H_T000000,2015-01-11 13:00:00,593.0000
M4H_T000000,2015-01-11 14:00:00,564.0000
M4H_T000000,2015-01-11 15:00:00,528.0000
M4H_T000000,2015-01-11 16:00:00,507.0000
M4H_T000000,2015-01-11 17:00:00,466.0000
M4H_T000000,2015-01-11 18:00:00,428.0000
M4H_T000000,2015-01-11 19:00:00,396.0000
M4H_T000000,2015-01-11 20:00:00,382.0000
M4H_T000000,2015-01-11 21:00:00,371.0000
M4H_T000000,2015-01-11 22:00:00,374.0000
M4H_T000000,2015-01-11 23:00:00,372.0000
M4H_T000000,2015-01-12 00:00:00,373.0000
M4H_T000000,2015-01-12 01:00:00,406.0000
M4H_T000000,2015-01-12 02:00:00,451.0000
M4H_T000000,2015-01-12 03:00:00,480.0000
M4H_T000000,2015-01-12 04:00:00,487.0000
M4H_T000000,2015-01-12 05:00:00,487.0000
M4H_T000000,2015-01-12 06:00:00,494.0000
M4H_T000000,2015-01-12 07:00:00,505.0000
M4H_T000000,2015-01-12 08:00:00,519.0000
M4H_T000000,2015-01-12 09:00:00,535.0000
M4H_T000000,2015-01-12 10:00:00,560.0000
M4H_T000000,2015-01-12 11:00:00,570.0000
M4H_T000000,2015-01-12 12:00:00,551.0000
M4H_T000000,2015-01-12 13:00:00,541.0000
M4H_T000000,2015-01-12 14:00:00,552.0000
M4H_T000000,2015-01-12 15:00:00,521.0000
M4H_T000000,2015-01-12 16:00:00,477.0000
M4H_T000000,2015-01-12 17:00:00,426.0000
M4H_T000000,2015-01-12 18:00:00,395.0000
M4H_T000000,2015-01-12 19:00:00,370.0000
M4H_T000000,2015-01-12 20:00:00,357.0000
M4H_T000000,2015-01-12 21:00:00,349.0000
M4H_T000000,2015-01-12 22:00:00,362.0000
M4H_T000000,2015-01-12 23:00:00,374.0000
M4H_T000000,2015-01-13 00:00:00,402.0000
M4H_T000000,2015-01-13 01:00:00,427.0000
M4H_T000000,2015-01-13 02:00:00,456.0000
M4H_T000000,2015-01-13 03:00:00,500.0000
M4H_T000000,2015-01-13 04:00:00,558.0000
M4H_T000000,2015-01-13 05:00:00,608.0000
M4H_T000000,2015-01-13 06:00:00,661.0000
M4H_T000000,2015-01-13 07:00:00,704.0000
M4H_T000000,2015-01-13 08:00:00,736.0000
M4H_T000000,2015-01-13 09:00:00,763.0000
M4H_T000000,2015-01-13 10:00:00,782.0000
M4H_T000000,2015-01-13 11:00:00,782.0000
M4H_T000000,2015-01-13 12:00:00,775.0000
M4H_T000000,2015-01-13 13:00:00,730.0000
M4H_T000000,2015-01-13 14:00:00,716.0000
M4H_T000000,2015-01-13 15:00:00,657.0000
M4H_T000000,2015-01-13 16:00:00,590.0000
M4H_T000000,2015-01-13 17:00:00,518.0000
M4H_T000000,2015-01-13 18:00:00,469.0000
M4H_T000000,2015-01-13 19:00:00,438.0000
M4H_T000000,2015-01-13 20:00:00,418.0000
M4H_T000000,2015-01-13 21:00:00,406.0000
